,CompanyName,Location,Experience,Job Title,Education,Salary,Job Posted,Key Skill,Preferred Skills,Application URL
0,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",2 - 7 years,Consultant/Senior Manager - Analytics/Data Science - IT,",UG :B.Tech/B.E. in Computers,PG :Any Postgraduate,Doctorate :Doctorate Not Required",Not Disclosed,2 days ago,Data Science,"['senior', 'analytics', 'sas', 'data analytics', 'management', 'python', 'consulting', 'Data Science']",https://www.naukri.com/job-listings-consultant-senior-manager-analytics-data-science-it-huquo-consulting-pvt-ltd-gurgaon-gurugram-bangalore-bengaluru-2-to-7-years-270323903405
1,Huquo Consulting,"Bangalore/Bengaluru, Delhi / NCR",3 - 8 years,Assistant Manager / Lead Assistant Manager / Manager - Data Science,",UG :Any Graduate,PG :Any Postgraduate,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['analytics', 'machine learning', 'science', 'management', 'data', 'python', 'Data Science', 'data management']",https://www.naukri.com/job-listings-assistant-manager-lead-assistant-manager-manager-data-science-huquo-consulting-bangalore-bengaluru-delhi-ncr-3-to-8-years-280323906695
2,Megara Infotech,"Rohtak, Dharuhera, Kanpur, Gurgaon/Gurugram, Bangalore/Bengaluru, Delhi / NCR",0 - 1 years,Data Scientist | Business Analyst Science | Data Analyst,",UG :Any Graduate,PG :Any Postgraduate",₹ 1.5-2.5 Lacs P.A. ,1 day ago,MIS,"['data analysis', 'r', 'r program', 'MIS', 'data', 'mis reporting', 'power bi', 'data science']",https://www.naukri.com/job-listings-data-scientist-business-analyst-science-data-analyst-megara-infotech-rohtak-dharuhera-kanpur-gurgaon-gurugram-bangalore-bengaluru-delhi-ncr-0-to-1-years-290323004953
3,Huquo Consulting,"Delhi / NCR, Bangalore/Bengaluru",3 - 8 years,Assistant Manager/Manager - Data Science - IT,",UG :Any Graduate,PG :Any Postgraduate,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['assistance', 'management', 'sql', 'predictive modeling', 'python', 'predictive', 'Data Science', 'statistical modeling']",https://www.naukri.com/job-listings-assistant-manager-manager-data-science-it-huquo-consulting-delhi-ncr-bangalore-bengaluru-3-to-8-years-280323906701
4,Talentstack,Bangalore/Bengaluru,0 - 5 years,Data Science Engineer - IIT/NIT/BITS,",UG :B.Tech/B.E. in Any Specialization,PG :M.Tech in Any Specialization, MCA in Any Specialization, MS/M.Sc(Science) in Any Specialization,Doctorate :Ph.D/Doctorate",Not Disclosed,1 day ago,Data Science,"['bi', 'machine learning', 'science', 'data visualization', 'python', 'Data Science', 'Power BI', 'Tensorflow']",https://www.naukri.com/job-listings-data-science-engineer-iit-nit-bits-talentstack-bangalore-bengaluru-0-to-5-years-280323908602
5,"Evertz Microsystems, Ltd",Bangalore/Bengaluru,5 - 8 years,Data Science Engineer,",UG :Any Graduate,PG :Any Postgraduate",Not Disclosed,5 days ago,data science,"['analytical', 'analytics', 'data analytics', 'sql', 'python', 'customer satisfaction', 'data science', 'broadcasting']",https://www.naukri.com/job-listings-data-science-engineer-evertz-microsystems-ltd-bangalore-bengaluru-5-to-8-years-240323501043
6,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Data Scientist - Data Science Team - Insurance Domain,",UG :B.Tech/B.E. in Computers, B.Sc in Maths, Computers, B.A in Economics, Maths, BCA in Computers,PG :M.Tech in Computers, MBA/PGDM in Any Specialization, MS/M.Sc(Science) in Maths, Computers, M.A in Maths, Economics, MCA in Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine learning', 'data modeling', 'insurance', 'data analytics', 'sql', 'python', 'Data Science', 'data management']",https://www.naukri.com/job-listings-data-scientist-data-science-team-insurance-domain-huquo-consulting-gurgaon-gurugram-8-to-13-years-310123912078
7,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Data Scientist - Data Science Team - Insurance Domain,",UG :B.Sc in Maths, Computers, BCA in Computers, B.Tech/B.E. in Computers, B.A in Economics, Maths,PG :MCA in Computers, M.A in Maths, Economics, MS/M.Sc(Science) in Maths, Computers, MBA/PGDM in Any Specialization, M.Tech in Computers,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Data Science,"['machine', 'Data Science', 'data modeling', 'data analytics', 'data', 'sql', 'intelligence', 'artificial intelligence']",https://www.naukri.com/job-listings-data-scientist-data-science-team-insurance-domain-huquo-consulting-gurgaon-gurugram-8-to-13-years-280323906275
8,Premier Consultants,Bangalore/Bengaluru,4 - 9 years,Lead Data Science / Lead Analytics with a Leading NBFC,",UG :Any Graduate",₹ 30-45 Lacs P.A. ,5 days ago,Analytics,"['Analytics', 'Data Science', 'development', 'sql', 'team', 'risk', 'credit risk', 'handling']",https://www.naukri.com/job-listings-lead-data-science-lead-analytics-with-a-leading-nbfc-premier-consultants-bangalore-bengaluru-4-to-9-years-240323009904
9,Huquo Consulting,Gurgaon/Gurugram,8 - 13 years,Senior Vice President - Analytics - Data Science Team - IIT / IIM,",UG :B.Tech/B.E. in Computers,PG :MBA/PGDM in Any Specialization,Doctorate :Doctorate Not Required",Not Disclosed,1 day ago,Analytics,"['hadoop', 'senior', 'Analytics', 'machine learning', 'management', 'sql', 'python', 'data science']",https://www.naukri.com/job-listings-senior-vice-president-analytics-data-science-team-iit-iim-huquo-consulting-gurgaon-gurugram-8-to-13-years-310123912961
