,CompanyName,Location,Experience,Job Title,Job Description,Salary
0,Huquo Consulting Pvt. Ltd,"Gurgaon/Gurugram, Bangalore/Bengaluru",2-7 Yrs,Consultant/Senior Manager - Analytics/Data Science - IT,"Masters or Bachelors degree in Data Science, Computer Engineering, Math, Statistics, Ec...",Not disclosed
1,Huquo Consulting,"Bangalore/Bengaluru, Delhi / NCR",3-8 Yrs,Assistant Manager / Lead Assistant Manager / Manager - Data Science,"Extremely Good In Python, Machine Learning, Sql And Predictive/ Statistical Modeling",Not disclosed
2,Huquo Consulting,"Delhi / NCR, Bangalore/Bengaluru",3-8 Yrs,Assistant Manager/Manager - Data Science - IT,"- EXTREMELY GOOD IN PYTHON, MACHINE LEARNING, SQL AND PREDICTIVE/STATISTICAL MODELING- ...",Not disclosed
3,Talentstack,Bangalore/Bengaluru,0-5 Yrs,Data Science Engineer - IIT/NIT/BITS,A passion for keeping up with the latest in Data Science and Machine Learning communiti...,Not disclosed
4,"Evertz Microsystems, Ltd",Bangalore/Bengaluru,5-8 Yrs,Data Science Engineer,". Bachelors / Master s / PhD degree in a relevant field such as Engineering, Statistics...",Not disclosed
5,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Data Scientist - Data Science Team - Insurance Domain,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",Not disclosed
6,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Data Scientist - Data Science Team - Insurance Domain,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",Not disclosed
7,Premier Consultants,Bangalore/Bengaluru,4-9 Yrs,Lead Data Science / Lead Analytics with a Leading NBFC,Preferred experience in SQL in any flavor (preferably BigQuery and MySQL) and able to w...,30-45 Lacs PA
8,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Senior Vice President - Analytics - Data Science Team - IIT / IIM,Sr.Vice President-Analytics ( Data Science) - IIT / IIM/ XLRI/ NIT Bachelors / Masters ...,Not disclosed
9,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Senior Vice President- Analytics- Data Science Team-Insurance- IIT/IIM,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",Not disclosed
10,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Sr Vice President- Analytics- Data Science Team- Insurance,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",Not disclosed
11,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Senior Vice President - Analytics - Data Science Team - Insurance,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",Not disclosed
12,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Sr. Vice President - Analytics - Data Science Team - Insurance -  IIT,"Bachelors/ Masters degree in economics, mathematics, actuarial sciences, computer scien...",Not disclosed
13,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Sr VP - Analytics - Data Science Team - Insurance -  IIT/IIM/XLRI/NIT,"Bachelors / Masters degree in economics, mathematics, actuarial sciences, computer scie...",Not disclosed
14,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Sr.Vice President-Analytics ( Data Science)-IIT/IIM/XLRI/NIT,Senior Vice President - Analytics - Data Science Team - Insurance - IIT / IIM/XLRI / NI...,Not disclosed
15,Huquo Consulting,Gurgaon/Gurugram,8-13 Yrs,Sr.Vice President-Analytics ( Data Science)-IIT/IIM/XLRI/NIT,Senior Vice President - Analytics - Data Science Team - Insurance - IIT / IIM/XLRI / NI...,Not disclosed
